group,id_user,font,champ,wpm,font_fam,score,passage_fam,passage_int,user_type,is_best?,is_worst?
plt2_mturk,148,open_sans,,191.3,2,1,3,2,plt2_mturk,1,0
usertesting_exp2_pilot,28,lato,,161.8,2,1,1,3,usertesting_exp2_pilot,1,0
plt2_mturk,182,avenir_next,,182,2,1,3,2,plt2_mturk,1,0
usertesting_exp2_pilot,35,poynter_gothic_text,,159.3,3,1,1,3,usertesting_exp2_pilot,1,0
plt2_mturk,182,times,,158.8,1,1,3,3,plt2_mturk,1,0
plt2_mturk,147,times,,198,3,0.75,4,5,plt2_mturk,0,1
plt2_mturk,183,helvetica,,185.7,2,1,2,2,plt2_mturk,1,0
plt2_mturk,190,calibri,,156.8,3,1,1,4,plt2_mturk,1,0
plt2_mturk,197,roboto,,156.3,3,1,4,4,plt2_mturk,1,0
plt2_mturk,157,roboto,,183.7,1,1,3,4,plt2_mturk,1,0
plt2_mturk,216,times,,192.5,3,1,2,2,plt2_mturk,1,0
plt2_mturk,183,noto_sans,,153,1,1,3,4,plt2_mturk,1,0
plt2_mturk,182,oswald,,147.3,3,1,1,3,plt2_mturk,1,0
plt2_mturk,181,poynter_gothic_text,,145.3,2,1,2,4,plt2_mturk,1,0
plt2_mturk,181,montserrat,,144.3,1,1,3,3,plt2_mturk,1,0
plt2_mturk,162,lato,,170,1,1,2,5,plt2_mturk,1,0
plt2_mturk,216,roboto,,176,3,1,3,4,plt2_mturk,1,0
plt2_mturk,157,times,,151.7,2,1,3,3,plt2_mturk,1,0
plt2_mturk,197,poynter_gothic_text,,148.7,1,1,4,3,plt2_mturk,1,0
plt2_mturk,162,utopia,,142.3,1,1,2,5,plt2_mturk,1,0
usertesting_exp2_pilot,28,calibri,1,130.8,3,1,1,4,usertesting_exp2_pilot,1,0
csail_framingham,36,montserrat,,144.3,3,1,1,3,csail_framingham,1,0
plt2_mturk,197,times,,128.4,3,1,1,3,plt2_mturk,1,0
plt2_mturk,216,montserrat,,166.5,3,1,3,4,plt2_mturk,1,0
plt2_mturk,162,times,,145.3,3,1,5,5,plt2_mturk,1,0
plt2_mturk,181,lato,,124.5,2,1,4,2,plt2_mturk,1,0
plt2_mturk,197,avantgarde,,160.5,2,1,4,2,plt2_mturk,1,0
plt2_mturk,147,open_sans,,131.7,3,0.25,4,3,plt2_mturk,0,1
plt2_mturk,182,franklin_gothic,,163.5,2,0.75,2,3,plt2_mturk,0,0
plt2_mturk,147,avantgarde,,140.7,3,1,3,4,plt2_mturk,1,0
plt2_mturk,147,roboto,,136,3,0.75,1,3,plt2_mturk,0,0
plt2_mturk,190,arial,,198.3,3,1,2,4,plt2_mturk,1,0
plt2_mturk,183,roboto,,123,2,0.75,3,1,plt2_mturk,0,0
plt2_mturk,181,roboto,,107,2,1,1,4,plt2_mturk,1,0
plt2_mturk,162,poynter_gothic_text,,114.5,1,0.75,1,5,plt2_mturk,0,0
usertesting_exp2_pilot,28,roboto,,106.5,1,0.75,1,3,usertesting_exp2_pilot,0,0
plt2_mturk,182,calibri,,119,1,1,5,4,plt2_mturk,1,0
plt2_mturk,162,noto_sans,1,,1,1,3,5,plt2_mturk,1,0
plt2_mturk,147,poynter_gothic_text,,102.5,2,1,5,5,plt2_mturk,1,0
